"","Value","Duration","Start","End","mean_x","mean_y","POGsdSacAmp","RMS","subj","trial_id","stim","session_id","Order","Trial"
"293","f",166.666666666667,28741,28906.6666666667,1428.38169799805,676.394927825928,0.327266941523157,0.276266161822749,"D","liceu","liceu",1,95,3
"295","f",253.333333333333,29014.3333333333,29266.6666666667,370.427622744912,383.925362837942,0.544035178698996,0.247106951779728,"D","liceu","liceu",1,97,3
"297","f",266.666666666667,29294.3333333333,29560,181.605838775635,334.911104011536,0.342596641148553,0.213709447632718,"D","liceu","liceu",1,99,3
"299","f",166.666666666667,29594.3333333333,29760,340.116483154297,361.021535949707,0.248768661179541,0.255226721431734,"D","liceu","liceu",1,101,3
"301","f",86.6666666666667,29781,29866.6666666667,187.108426607572,369.626677586482,0.469623305120695,0.462461397399063,"D","liceu","liceu",1,103,3
"12","f",320,1,320,904.277199407419,625.412474994858,0.613351475770834,0.379763452307335,"P","liceu","liceu",1,1,1
"32","f",120,327.666666666667,446.666666666667,917.134933223327,539.75730002837,0.383686765732269,0.345024195929531,"P","liceu","liceu",1,3,1
"52","f",480,461,940,752.024000856611,596.247374789582,0.691497994523352,0.370232802764316,"P","liceu","liceu",1,5,1
"710","f",186.666666666667,961,1146.66666666667,793.857256480626,801.048729487828,0.548899533874273,0.356950214091365,"P","liceu","liceu",1,7,1
"910","f",286.666666666667,1154.33333333333,1440,861.222474697024,811.48525007381,0.477731020353982,0.339708200284226,"P","liceu","liceu",1,9,1
"111","f",226.666666666667,1481,1706.66666666667,327.485364128562,480.73436491279,0.515535376561793,0.330725998976845,"P","liceu","liceu",1,11,1
"1310","f",280,1721,2000,202.366402762277,520.074514252621,0.521401301214282,0.356447169081951,"P","liceu","liceu",1,13,1
"155","f",146.666666666667,2014.33333333333,2160,362.068363536488,721.527872605757,0.464499698995033,0.335860884654751,"P","liceu","liceu",1,15,1
"171","f",113.333333333333,2174.33333333333,2286.66666666667,289.022681741154,730.057763043572,0.334061597863764,0.325282598691509,"P","liceu","liceu",1,17,1
"191","f",146.666666666667,2354.33333333333,2500,1306.30647277832,732.789573669433,0.499852133064114,0.37587270976065,"P","liceu","liceu",1,19,1
"2110","f",186.666666666667,2514.33333333333,2700,1524.62194006784,740.921078545707,0.598013284812031,0.30560613412014,"P","liceu","liceu",1,21,1
"2310","f",206.666666666667,2894.33333333333,3100,1316.05378378591,383.056664497622,0.621506115025594,0.395242220995995,"P","liceu","liceu",1,23,1
"252","f",746.666666666667,3114.33333333333,3860,1336.13408620017,477.456187401499,0.544259928382155,0.337943415479736,"P","liceu","liceu",1,25,1
"272","f",253.333333333333,3867.66666666667,4120,1312.58349529066,575.700394530045,0.396181139017018,0.3348961827746,"P","liceu","liceu",1,27,1
"292","f",326.666666666667,4154.33333333333,4480,948.891036585886,576.786232532895,0.56213722910017,0.286940426519957,"P","liceu","liceu",1,29,1
"312","f",126.666666666667,4494.33333333333,4620,811.183326921965,585.223862949171,0.405724314622825,0.53412015783087,"P","liceu","liceu",1,31,1
"332","f",386.666666666667,4654.33333333333,5040,1273.31602793727,558.665100105878,0.373379922937204,0.277623604942415,"P","liceu","liceu",1,33,1
"352","f",326.666666666667,5054.33333333333,5380,1406.06027626505,502.912358975836,0.500417973659314,0.287730501154297,"P","liceu","liceu",1,35,1
"372","f",806.666666666667,5401,6206.66666666667,1212.37947744574,561.522927319123,0.453940267075458,0.363917042444777,"P","liceu","liceu",1,37,1
"392","f",253.333333333333,6254.33333333333,6506.66666666667,474.801598398309,551.064742102827,0.437925872537693,0.405889727735988,"P","liceu","liceu",1,39,1
"412","f",853.333333333333,6587.66666666667,7440,1385.22997558117,540.801646864405,0.550915538619398,0.303238269957191,"P","liceu","liceu",1,41,1
"432","f",306.666666666667,7494.33333333333,7800,389.842854375425,550.956130382564,0.426499282121897,0.265443648301475,"P","liceu","liceu",1,43,1
"452","f",806.666666666667,7814.33333333333,8620,308.241640453496,502.858532222342,0.575968780506851,0.387803761796504,"P","liceu","liceu",1,45,1
"471","f",313.333333333333,8654.33333333333,8966.66666666667,485.61559246956,551.729604396097,0.377228116760548,0.345302742924433,"P","liceu","liceu",1,47,1
"491","f",260,8981,9240,405.32160167205,610.56498444386,0.515163862691218,0.374637565906678,"P","liceu","liceu",1,49,1
"511","f",253.333333333333,9307.66666666667,9560,398.536421524851,315.615221726267,0.296352143525048,0.232108571331718,"P","liceu","liceu",1,51,1
"531","f",193.333333333333,9574.33333333333,9766.66666666667,317.369712040342,215.695738167598,0.382278125881153,0.393950071809493,"P","liceu","liceu",1,53,1
"551","f",386.666666666667,9794.33333333333,10180,863.393875812662,262.273251895247,0.358825721918554,0.376778933907247,"P","liceu","liceu",1,55,1
"571","f",173.333333333333,10274.3333333333,10446.6666666667,896.620801925659,442.206001281739,0,0,"P","liceu","liceu",1,57,1
"591","f",220,10461,10680,817.506036353834,454.515054384867,0.487358550582041,0.378103767556652,"P","liceu","liceu",1,59,1
"611","f",266.666666666667,10694.3333333333,10960,647.458082199097,401.203934574127,0.539739102785993,0.389612180568982,"P","liceu","liceu",1,61,1
"631","f",206.666666666667,10994.3333333333,11200,1322.69264319635,295.334883659117,0.372200375774064,0.363115949365421,"P","liceu","liceu",1,63,1
"651","f",133.333333333333,11234.3333333333,11366.6666666667,1594.02095947266,265.687829971314,0.229321019644997,0.152693962780233,"P","liceu","liceu",1,65,1
"66","f",86.6666666666667,12054.3333333333,12140,1539.82449810322,720.391153188852,0.585113552348912,0.52677803212545,"P","liceu","liceu",1,66,1
"68","f",620,12181,12800,873.189884070427,703.650716268888,0.851322524204574,0.372492336804055,"P","liceu","liceu",1,68,1
